日期,前一天涨幅,cum_return_5d,cum_return_20d,rsi_14,close_above_ma5,close_above_ma20,close_above_ma60,plus_di_14,minus_di_14,adx_14,bb_upper_20_2,bb_middle_20_2,bb_lower_20_2,is_above_bb_upper,is_below_bb_lower,atr_14,ma_volume_5,volume_up_strong,volume_down_strong,obv,consecutive_up_days,consecutive_down_days,consecutive_up_2d,consecutive_down_2d,consecutive_up_3d,consecutive_down_3d,consecutive_up_4d,consecutive_down_4d,consecutive_up_5d,consecutive_down_5d,consecutive_up_6d,consecutive_down_6d,consecutive_up_7d,consecutive_down_7d,price_slope_5d,ma20_slope_5d,price_ma20_slope_ratio,prev_close_above_ma5
2022/1/10,-1.1,-0.053772414,-0.043935273,49.71350993,0,0,0,0,0,0,16756.62613,16093.8155,15431.00487,0,0,313.2235449,244602000,0,1,1.10305E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-177.468,-20.2423,8.767185547,0
2022/1/11,0.14,-0.026757815,-0.014825385,46.73426631,1,0,0,0,0,0,16754.06858,16081.894,15409.71942,0,0,318.3470723,239380000,0,0,1.1052E+11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-87.122,-26.9623,3.231252527,0
2022/1/12,1.47,0.008453712,-0.000615775,43.27089633,1,0,0,0,0,0,16754.10523,16081.404,15408.70277,0,0,302.760796,226336000,0,0,1.10712E+11,3,0,1,0,1,0,0,0,0,0,0,0,0,0,26.666,-21.5214,-1.239045787,1
2022/1/13,0.38,-0.017109663,-0.048740944,32.52547235,0,0,0,0,0,0,16755.15303,16041.7055,15328.25797,0,0,332.0313565,224368000,0,0,1.10492E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-53.948,-23.1713,2.328225002,1
2022/1/14,-2.57,0.001244213,-0.015907145,28.09304457,0,0,0,0,0,0,16764.3645,16029.088,15293.8115,0,0,317.188509,224790000,0,0,1.10707E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,-20.121,-0.192833358,0
2022/1/18,0.75,-0.025852369,-0.037382622,24.48017765,0,0,0,0,0,0,16816.27297,15999.553,15182.83303,0,0,332.0473744,225326000,1,0,1.10423E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-80.734,-18.8525,4.282402864,0
2022/1/19,-2.57,-0.05025713,-0.037100931,22.91662757,0,0,0,0,0,0,16878.89051,15970.563,15062.23549,0,1,333.5837245,228052000,0,1,1.10194E+11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-159.256,-22.2662,7.152365469,0
2022/1/20,-1.07,-0.066559783,-0.07129989,21.77667292,0,0,0,0,0,0,16951.52856,15913.572,14875.61544,0,1,357.7632279,238898000,0,1,1.09947E+11,0,3,0,1,0,1,0,0,0,0,0,0,0,0,-211.728,-33.5664,6.307736308,0
2022/1/21,-1.34,-0.068227022,-0.107646782,19.6779059,0,0,0,0,0,0,17046.56452,15826.485,14606.40548,0,1,368.1694642,272506000,0,1,1.09559E+11,0,4,0,1,0,1,0,1,0,0,0,0,0,0,-211.444,-43.0441,4.912264399,0
2022/1/24,-2.75,-0.070589222,-0.110289848,16.71150382,0,0,0,0,0,0,17067.26348,15736.5535,14405.84352,0,0,426.7762023,314612000,0,1,1.09985E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-220.402,-58.5069,3.76711123,0
